,cut,color,clarity,carat,depth,table,x,y,z,price
15564,Ideal,G,VS2,1.01,61.6,56,6.43,6.46,3.97,6239
15565,Ideal,H,SI2,1.26,62,55,6.9,6.97,4.29,6239
15566,Ideal,G,VS2,1.06,61.8,57,6.56,6.52,4.04,6240
15567,Ideal,G,VS2,1.03,61.8,56,6.54,6.48,4.02,6241
15568,Ideal,D,SI2,1.11,61.3,56,6.74,6.68,4.12,6241
15569,Premium,F,VS2,1.01,62.3,58,6.34,6.4,3.97,6244
15570,Premium,F,VS2,1.01,61.5,58,6.41,6.46,3.96,6244
15571,Very Good,E,VS2,1,62.9,59,6.27,6.38,3.98,6245
15572,Good,I,SI1,1.56,64,57,7.32,7.28,4.67,6246
15573,Good,G,SI2,1.56,63.7,54,7.35,7.31,4.67,6246
15574,Premium,I,VS2,1.3,62.7,58,6.97,6.9,4.35,6246
15575,Good,G,VS1,1.01,58.7,62,6.49,6.55,3.83,6247
15576,Good,E,VS2,1,62.4,58,6.33,6.4,3.97,6248
15577,Very Good,D,SI2,1.21,62.4,58,6.77,6.83,4.24,6248
15578,Very Good,H,VVS2,1,62.6,56,6.36,6.39,3.99,6249
15579,Ideal,F,SI1,1.06,61.7,55.1,6.56,6.58,4.06,6249
15580,Ideal,D,SI1,1.03,61.9,57,6.52,6.54,4.04,6250
15581,Good,E,VS2,1.01,60.8,63,6.44,6.46,3.92,6250
15582,Good,H,SI2,1.22,63.5,56,6.84,6.77,4.32,6250
15583,Premium,H,VS2,1.2,60.7,60,6.88,6.82,4.16,6250
15584,Premium,F,SI1,1.2,62.4,58,6.81,6.75,4.23,6250
15585,Premium,I,VS1,1.2,59.9,59,6.96,6.87,4.14,6250
15586,Good,D,VS1,1,64,58,6.27,6.21,3.99,6250
15587,Premium,H,SI2,1.5,61.1,59,7.41,7.35,4.51,6250
15588,Fair,H,SI2,1.5,64.6,59,7.2,7.11,4.62,6250
15589,Ideal,J,VS2,1.39,60.3,57,7.24,7.26,4.37,6252
15590,Premium,J,VS2,1.35,60.5,56,7.19,7.12,4.33,6254
15591,Ideal,H,SI1,1.24,61.3,57,6.95,6.89,4.24,6254
15592,Ideal,H,VS1,1.04,62.2,56.6,6.43,6.49,4.02,6255
15593,Ideal,H,SI1,1.05,61.3,57,6.51,6.54,4,6255
15594,Ideal,I,SI2,1.53,61.8,56,7.4,7.35,4.56,6255
15595,Premium,G,VS2,1.14,61.9,58,6.72,6.68,4.15,6256
15596,Premium,D,SI1,1.14,58.9,59,6.84,6.78,4.01,6256
15597,Premium,E,SI2,1.33,61,60,7.13,7.05,4.33,6256
15598,Premium,I,VS2,1.24,60.2,58,6.98,6.93,4.19,6257
15599,Very Good,F,VS2,1.01,58.8,63,6.51,6.56,3.84,6257
15600,Very Good,F,VS2,1.01,59.2,59,6.49,6.61,3.88,6257
15601,Very Good,G,VVS2,1.01,61.9,58,6.38,6.48,3.98,6257
15602,Ideal,D,SI1,1.01,62.2,54,6.42,6.45,4,6257
15603,Ideal,D,SI1,1.09,62.8,54,6.6,6.62,4.15,6259
15604,Ideal,E,SI1,1.04,62.6,53,6.49,6.52,4.07,6260
15605,Ideal,J,SI1,1.38,61.8,56,7.17,7.14,4.42,6260
15606,Premium,G,SI2,1.37,62.4,58,7.1,7,4.4,6260
15607,Premium,F,SI2,1.3,61.1,58,7.02,6.98,4.28,6261
15608,Premium,E,SI1,1.21,60,60,7.01,6.92,4.18,6261
15609,Premium,E,SI1,1.21,63,57,6.75,6.7,4.24,6261
15610,Good,E,I1,1.54,63.3,60,7.26,7.3,4.61,6261
15611,Ideal,F,VS2,1.21,62.6,55,6.81,6.74,4.24,6261
15612,Ideal,E,VS2,1,62,56,6.42,6.36,3.96,6261
15613,Very Good,H,VS1,1.07,62.5,56,6.52,6.55,4.08,6262
15614,Very Good,F,SI1,1.12,62.9,57,6.6,6.62,4.16,6262
15615,Very Good,G,VS1,1,62.4,60,6.37,6.39,3.98,6263
15616,Very Good,H,SI2,1.31,61.7,59,6.96,7.01,4.31,6263
15617,Ideal,H,SI1,1.02,61.8,57,6.43,6.46,3.98,6264
15618,Very Good,E,VS2,1.01,61.7,60,6.36,6.45,3.95,6265
15619,Good,I,SI1,1.51,63.8,59,7.27,7.21,4.62,6266
15620,Premium,G,SI2,1.51,60,60,7.45,7.4,4.48,6266
15621,Good,F,VS2,1,63.3,55,6.29,6.34,4,6267
15622,Very Good,F,VS2,1.01,63.1,56,6.41,6.37,4.03,6267
15623,Very Good,E,SI1,1.01,60.8,59,6.43,6.5,3.93,6268
15624,Fair,E,VS2,1,57.4,58,6.57,6.64,3.79,6268
15625,Very Good,D,SI1,1.01,61.4,59,6.37,6.43,3.93,6270
15626,Very Good,D,SI1,1.01,63.6,59,6.33,6.37,4.04,6270
15627,Fair,G,VS2,1.01,59.1,56,6.55,6.52,3.86,6271
15628,Premium,F,VS2,1.01,62.4,56,6.43,6.35,3.99,6271
15629,Premium,F,VS2,1.01,58.9,58,6.59,6.51,3.86,6271
15630,Premium,F,VS2,1.01,62.7,58,6.37,6.3,3.97,6271
15631,Premium,F,VS2,1.01,62.3,58,6.34,6.3,3.94,6271
15632,Good,F,VS2,1.01,60.8,61,6.42,6.45,3.91,6271
15633,Very Good,F,VS2,1.01,63.1,60,6.39,6.29,4,6271
15634,Premium,F,VS2,1.01,61.3,61,6.38,6.34,3.9,6271
15635,Fair,F,VS2,1.01,61.1,60,6.49,6.4,3.94,6271
15636,Premium,D,VS2,1.01,61.6,59,6.38,6.32,3.91,6271
15637,Premium,F,VS2,1.01,62.5,58,6.43,6.4,4.01,6271
15638,Ideal,G,VS2,1.01,61.6,57,6.44,6.41,3.96,6271
15639,Premium,F,VS2,1.01,60.4,59,6.52,6.46,3.92,6271
15640,Premium,E,VS2,1,62.8,62,6.29,6.26,3.94,6272
15641,Ideal,I,VS1,1.18,62.2,55,6.8,6.77,4.22,6272
15642,Premium,G,VS2,1,61.6,58,6.44,6.42,3.96,6272
15643,Fair,F,SI2,1.6,65,56,7.35,7.26,4.8,6272
15644,Good,E,VS2,1,57.4,62,6.56,6.53,3.76,6272
15645,Ideal,G,VS2,1,62.3,54,6.42,6.38,3.99,6272
15646,Premium,G,VS2,1,60.1,57,6.42,6.35,3.84,6272
15647,Good,E,VS2,1,63.8,58,6.31,6.19,3.99,6272
15648,Premium,E,VS2,1,59.9,59,6.45,6.38,3.84,6272
15649,Very Good,G,VS2,1.07,62.3,57,6.56,6.47,4.06,6274
15650,Premium,F,VS2,1.07,62.4,57,6.55,6.5,4.07,6274
15651,Ideal,H,SI1,1.19,62,56.4,6.77,6.81,4.2,6275
15652,Good,E,SI1,1,61.1,58,6.43,6.41,3.92,6275
15653,Ideal,F,SI2,1.26,62.7,58,6.91,6.87,4.32,6277
15654,Premium,I,SI2,1.54,61.5,61,7.41,7.31,4.53,6278
15655,Very Good,G,SI1,1.22,63.4,57,6.74,6.77,4.28,6278
15656,Premium,F,VS2,1.04,59.6,62,6.62,6.56,3.93,6278
15657,Premium,H,VVS2,1.04,59.1,60,6.66,6.6,3.92,6278
15658,Very Good,H,SI2,1.36,61.5,58,7.09,7.16,4.38,6279
15659,Ideal,I,VS2,1.05,62.2,55.8,6.49,6.52,4.04,6279
15660,Ideal,I,VS1,1.21,60.3,60,6.89,6.93,4.17,6279
15661,Good,E,VS2,1,60.7,62,6.33,6.46,3.88,6279
15662,Premium,I,VS2,1.29,62.2,57,7.01,6.97,4.35,6279
15663,Ideal,J,SI1,1.35,62.3,57,7.02,7.08,4.39,6281
15664,Premium,H,SI1,1.2,60.8,60,6.9,6.85,4.18,6282
15665,Very Good,F,VS2,1,62.5,58,6.32,6.36,3.96,6283
15666,Premium,I,SI1,1.32,62.2,58,7.04,6.99,4.36,6283
15667,Good,G,VS1,1.01,63.8,56,6.27,6.34,4.02,6283
15668,Premium,G,VS2,1.1,60.5,60,6.67,6.58,4.01,6284
15669,Very Good,E,VS2,1,64,59,6.22,6.31,4.01,6285
15670,Fair,E,VS2,1,57.3,64,6.59,6.46,3.79,6285
15671,Very Good,G,SI1,1.18,60.8,58,6.81,6.85,4.15,6286
15672,Ideal,G,VS2,1.04,62,59,6.43,6.5,4.01,6286
15673,Ideal,G,VS2,1.04,59.4,58,6.63,6.67,3.95,6286
15674,Very Good,F,VS2,1.01,58.8,59,6.55,6.59,3.86,6288
15675,Very Good,F,VS2,1.01,60.8,58,6.44,6.49,3.93,6288
15676,Very Good,F,VS2,1.01,59.4,61,6.48,6.51,3.86,6288
15677,Ideal,E,SI2,1.23,61.2,55,6.92,7.01,4.26,6288
15678,Ideal,J,VS2,1.32,62.3,57,6.96,7,4.35,6288
15679,Ideal,H,VS2,1.09,61.3,56,6.57,6.63,4.05,6288
15680,Good,F,VS2,1.01,61.7,58,6.3,6.34,3.9,6288
15681,Good,F,VS2,1.01,62.1,58,6.28,6.35,3.92,6288
15682,Premium,G,SI1,1.22,62.3,58,6.83,6.76,4.23,6288
15683,Very Good,E,VVS2,0.9,62.2,60,6.04,6.12,3.78,6289
15684,Very Good,F,VS2,1.01,63.7,56,6.29,6.34,4.02,6289
15685,Fair,J,I1,2.49,66.3,58,8.26,8.18,5.45,6289
15686,Ideal,D,SI2,1.23,60.6,54,6.97,7.02,4.24,6289
15687,Ideal,D,SI2,1.23,62.4,56,6.81,6.87,4.27,6289
15688,Very Good,I,VS2,1.3,62.7,57,6.88,6.9,4.32,6290
15689,Ideal,G,VS2,1.04,61.4,57,6.53,6.5,4,6290
15690,Premium,G,VS2,1.04,62.5,58,6.47,6.43,4.03,6290
15691,Ideal,G,VVS2,0.29,61.4,57,4.27,4.3,2.63,607
15692,Ideal,G,VVS2,0.29,60.7,54,4.33,4.37,2.64,607
15693,Ideal,G,VVS2,0.29,61.9,56,4.24,4.25,2.62,607
15694,Ideal,I,VVS1,0.36,61.6,56,4.58,4.61,2.83,607
15695,Ideal,H,VVS1,0.29,62.1,55,4.28,4.3,2.66,607
15696,Ideal,G,VVS1,0.29,62.3,55,4.25,4.29,2.66,607
15697,Ideal,G,VVS1,0.29,62.8,54,4.21,4.24,2.65,607
15698,Ideal,F,SI1,0.35,61.5,54,4.57,4.6,2.82,607
15699,Ideal,H,IF,0.29,62.2,55,4.25,4.28,2.65,607
15700,Ideal,H,IF,0.29,60.7,57,4.3,4.33,2.62,607
15701,Ideal,H,IF,0.29,62.1,55,4.26,4.29,2.65,607
15702,Ideal,G,SI1,0.34,62.7,57,4.51,4.48,2.82,607
15703,Good,F,VS1,0.31,63.9,55,4.27,4.3,2.74,607
15704,Very Good,F,VVS2,0.24,61.8,56,4.01,4.04,2.48,608
15705,Very Good,F,VVS2,0.24,61.7,56,3.98,4,2.45,608
15706,Very Good,F,VVS2,0.24,60.6,59,4.04,4.06,2.45,608
15707,Very Good,E,VVS2,0.24,62.2,56,3.96,3.98,2.47,608
15708,Very Good,E,VVS2,0.24,62.4,54,3.96,3.99,2.48,608
15709,Very Good,F,VVS1,0.24,62.2,57,3.97,4,2.48,608
15710,Very Good,F,VVS1,0.24,62.3,56,3.97,4.01,2.49,608
15711,Very Good,F,VVS1,0.24,60.4,56,4.05,4.07,2.45,608
15712,Very Good,F,VVS1,0.24,62.5,55,3.98,4.02,2.49,608
15713,Very Good,H,VS2,0.37,63.5,59,4.51,4.55,2.88,608
15714,Ideal,G,SI1,0.37,61,56,4.61,4.68,2.84,608
15715,Premium,G,SI2,0.36,59.3,59,4.66,4.62,2.75,608
15716,Premium,G,SI2,0.36,62.4,58,4.58,4.56,2.85,608
15717,Premium,G,SI2,0.36,60.8,58,4.61,4.57,2.79,608
15718,Premium,G,SI2,0.36,61.9,56,4.59,4.55,2.83,608
15719,Premium,H,VS2,0.3,61.1,59,4.37,4.3,2.65,608
15720,Ideal,I,VS1,0.3,61.6,56,4.36,4.31,2.67,608
15721,Ideal,G,VS2,1.04,61.8,56,6.5,6.47,4.01,6290
15722,Ideal,G,VS2,1.04,61.9,57,6.5,6.46,4.01,6290
15723,Premium,G,VS1,1,62.4,62,6.37,6.33,3.96,6290
15724,Ideal,G,VS2,1.04,62.6,55,6.49,6.45,4.05,6290
15725,Premium,G,VS2,1.04,62.6,56,6.44,6.41,4.02,6290
15726,Ideal,G,VS1,1,62.9,57,6.36,6.32,3.99,6290
15727,Premium,G,VS1,1,62.3,58,6.39,6.3,3.95,6290
15728,Very Good,G,VS2,1.01,63.5,57,6.36,6.39,4.05,6291
15729,Premium,H,VS2,1.23,61.4,59,6.85,6.87,4.21,6291
15730,Fair,H,SI2,1.51,65.4,60,7.06,6.96,4.6,6291
15731,Ideal,F,SI1,0.95,61.7,56,6.31,6.34,3.9,6291
15732,Fair,H,SI2,1.51,64.5,59,7.21,7.15,4.63,6291
15733,Ideal,E,SI1,1.11,61.4,58,6.66,6.62,4.08,6291
15734,Ideal,I,VS1,1.21,60.5,58,6.95,6.89,4.19,6292
15735,Very Good,H,VS1,1.03,61.9,59,6.44,6.49,4,6294
15736,Very Good,G,SI2,1.32,62.9,57,6.94,6.98,4.38,6294
15737,Ideal,G,VS2,1.01,62,54.9,6.41,6.44,3.99,6295
15738,Ideal,G,VS2,1.01,59.6,59,6.52,6.57,3.9,6295
15739,Ideal,G,VS2,1.01,62,57,6.4,6.44,3.98,6295
15740,Ideal,G,VS2,1.01,60.6,58,6.44,6.5,3.92,6295
15741,Very Good,G,VS2,1,60.8,55,6.46,6.49,3.94,6296
15742,Premium,G,VS2,1.06,60.4,58,6.64,6.68,4.02,6296
15743,Very Good,H,VVS1,1,63.5,60,6.36,6.3,4.02,6296
15744,Premium,F,VS2,1,62.9,59,6.47,6.4,4.02,6296
15745,Premium,F,VS2,1,62.2,57,6.43,6.4,3.99,6296
15746,Very Good,F,VS2,1,63.2,59,6.35,6.3,4,6296
15747,Good,J,IF,1.21,62.1,60,6.81,6.87,4.25,6299
15748,Ideal,D,SI1,1.03,62.2,56,6.48,6.45,4.02,6299
15749,Ideal,G,I1,1.54,61.6,55,7.43,7.4,4.57,6299
15750,Premium,G,SI2,1.25,60.4,59,6.98,6.96,4.21,6300
15751,Premium,I,VS2,1.25,61.2,58,6.94,6.89,4.23,6300
15752,Very Good,I,SI2,1.32,61.2,58,7.12,7.06,4.34,6300
15753,Very Good,E,SI2,1.5,63.5,60,7.19,7.12,4.54,6300
15754,Ideal,H,SI2,1.29,61.6,54,7,7.02,4.32,6300
15755,Ideal,I,SI1,1.15,61.9,56,6.68,6.72,4.15,6300
15756,Ideal,I,SI1,1.15,61.8,55,6.73,6.76,4.17,6300
15757,Premium,D,I1,1.5,61.7,62,7.28,7.24,4.48,6300
15758,Good,E,SI2,1.5,61.5,65,7.21,7.17,4.42,6300
15759,Ideal,G,SI2,1.25,61.5,56,7,6.92,4.28,6300
15760,Premium,G,VS2,1.02,62.5,58,6.41,6.46,4.02,6301
15761,Very Good,G,VS1,1.02,62.6,58,6.36,6.46,4.01,6301
15762,Very Good,F,SI1,1.16,63.4,55,6.73,6.65,4.24,6301
15763,Ideal,H,VS2,1.21,62.9,57,6.8,6.75,4.26,6302
15764,Very Good,I,SI1,1.3,62.3,58,6.93,6.96,4.33,6302
15765,Ideal,G,VVS2,0.9,61.6,56,6.2,6.23,3.83,6302
15766,Ideal,I,VS2,1.2,61.1,58,6.83,6.86,4.18,6303
15767,Premium,D,VS2,1,61.2,61,6.39,6.35,3.9,6303
15768,Ideal,D,I1,1.34,61.7,55,7.12,7.08,4.38,6303
15769,Ideal,I,VS2,1.18,62.3,56,6.76,6.73,4.21,6304
15770,Ideal,F,VS2,1.02,61.5,57,6.48,6.5,3.99,6306
15771,Good,J,SI2,1.5,63.6,58,7.18,7.25,4.59,6306
15772,Premium,J,SI2,1.56,61.4,58,7.38,7.43,4.55,6306
15773,Very Good,H,SI1,1.3,63.4,57,6.93,6.88,4.38,6307
15774,Premium,F,VS2,1.03,62.4,58,6.47,6.42,4.02,6307
15775,Ideal,I,VS2,1.28,61.4,57,7.04,6.97,4.3,6308
15776,Ideal,H,VS1,1.12,61.9,57,6.66,6.69,4.13,6309
15777,Very Good,E,VS2,1.01,62.3,58,6.39,6.45,4,6310
15778,Very Good,G,VS2,1.11,62.3,58,6.59,6.61,4.11,6311
15779,Premium,G,I1,1.83,62,58,7.84,7.8,4.85,6313
15780,Ideal,G,SI1,1.15,62,55,6.72,6.76,4.18,6313
15781,Very Good,E,VS2,1,63.8,59,6.25,6.32,4.01,6315
15782,Fair,G,I1,2.01,70.2,57,7.53,7.5,5.27,6315
15783,Good,E,VS2,1,64.1,54,6.26,6.31,4.03,6315
15784,Very Good,J,SI1,1.45,62.4,57,7.16,7.23,4.49,6316
15785,Ideal,E,SI1,1.05,60.7,55,6.62,6.67,4.03,6316
15786,Premium,I,VS2,1.33,62.5,61,7.02,6.99,4.38,6316
15787,Ideal,I,VVS2,1.12,61.6,54,6.72,6.74,4.14,6317
15788,Ideal,H,VS1,1.02,61.4,57,6.47,6.44,3.97,6317
15789,Very Good,I,SI1,1.26,61.9,58,6.97,6.92,4.3,6318
15790,Very Good,F,VS2,1,62.7,58,6.38,6.41,4.01,6319
15791,Very Good,F,VS2,1.08,63.1,57,6.56,6.5,4.12,6319
15792,Premium,D,SI1,1.24,59.3,60,7.05,7.01,4.16,6319
15793,Very Good,H,SI1,1.26,62.1,57,6.88,6.94,4.29,6320
15794,Premium,I,I1,1.69,62.4,60,7.56,7.59,4.73,6320
15795,Ideal,J,SI1,1.71,62.8,57,7.58,7.55,4.75,6320
15796,Premium,F,SI1,1.14,60.4,58,6.82,6.79,4.11,6320
15797,Premium,I,VS2,1.29,60.4,58,7.12,7.03,4.27,6321
15798,Ideal,G,SI2,1.29,61.5,55,7.03,6.99,4.31,6321
15799,Ideal,G,VS2,1.17,62.2,57,6.75,6.72,4.19,6321
15800,Ideal,G,VS2,1.12,62.1,57,6.63,6.6,4.11,6322
15801,Premium,I,VS2,1.31,61.9,59,7.02,6.98,4.33,6323
15802,Very Good,H,SI1,1.22,62.4,57,6.78,6.82,4.24,6323
15803,Very Good,H,SI1,1.22,62.5,59,6.79,6.82,4.25,6323
15804,Very Good,E,SI1,1.21,62.9,58,6.78,6.79,4.27,6324
15805,Ideal,H,VS2,1.17,60.3,61,6.84,6.8,4.11,6324
15806,Ideal,G,VS2,1.07,61.1,59,6.62,6.57,4.03,6324
15807,Ideal,E,SI1,1,62.4,55,6.34,6.42,3.98,6324
15808,Ideal,I,VS1,1.2,62.1,57,6.84,6.8,4.23,6324
15809,Premium,G,VS2,1.06,60.1,58,6.67,6.64,4,6325
15810,Very Good,G,VS2,1.06,63.1,59,6.48,6.45,4.08,6325
15811,Very Good,G,VS1,1.01,62.7,56,6.36,6.46,4.02,6326
15812,Good,D,SI2,1.3,57.1,63,7.22,7.27,4.14,6327
15813,Premium,H,SI1,1.24,60.1,58,7.04,7.01,4.22,6327
15814,Ideal,J,SI1,1.29,61.6,57,6.98,7.01,4.32,6327
15815,Premium,G,VS2,1.03,62.3,59,6.42,6.38,3.99,6327
15816,Fair,H,I1,2.14,66.4,56,8,7.92,5.29,6328
15817,Ideal,E,SI2,1.18,60.9,57,6.86,6.89,4.19,6328
15818,Good,D,SI1,1,64.1,56,6.28,6.24,4.01,6328
15819,Premium,F,VS2,1,62.8,59,6.35,6.32,3.98,6328
15820,Ideal,G,VS2,1,60.5,56,6.54,6.49,3.94,6328
15821,Premium,F,VS2,1,62.2,59,6.37,6.29,3.94,6328
15822,Premium,F,VS2,1.01,60.8,58,6.44,6.49,3.93,6330
15823,Good,F,VS2,1.01,63.9,58,6.32,6.39,4.06,6330
15824,Ideal,J,VS1,1.26,62.2,58,6.88,6.92,4.29,6332
15825,Good,F,VS2,1.01,60.6,62,6.52,6.49,3.94,6332
15826,Premium,F,VS2,1.02,62.7,59,6.44,6.41,4.03,6333
15827,Premium,H,VS2,1.2,61.4,59,6.79,6.75,4.16,6333
15828,Ideal,G,VS2,1.02,60.6,56,6.56,6.52,3.96,6333
15829,Very Good,G,VS2,1.04,61.1,56,6.54,6.56,4.01,6334
15830,Very Good,G,SI1,1.22,62.1,58,6.84,6.89,4.26,6334
15831,Premium,J,VS1,1.3,61.6,56,7.06,7,4.33,6334
15832,Ideal,J,VS1,1.3,62.3,57,7.06,6.97,4.37,6334
15833,Premium,G,VS1,1.01,62.7,58,6.36,6.31,3.97,6335
15834,Ideal,G,SI1,1.19,62.3,55,6.76,6.81,4.23,6335
15835,Good,E,VS2,1.01,63.7,56,6.29,6.27,4,6335
15836,Premium,E,VS2,1.01,63,60,6.35,6.32,3.99,6335
15837,Premium,E,VS2,1.01,62.9,58,6.47,6.37,4.04,6335
15838,Premium,E,VS2,1.01,60.2,58,6.56,6.52,3.94,6335
15839,Very Good,E,VS2,1.01,63.1,60,6.3,6.26,3.96,6335
15840,Premium,G,VS1,1.01,61.2,58,6.47,6.33,3.92,6335
15841,Very Good,H,SI1,1.17,59.6,62,6.88,6.82,4.08,6336
15842,Ideal,J,SI1,1.31,62.5,56,6.95,7.04,4.37,6337
15843,Premium,H,VS2,1.37,60.9,59,7.22,7.17,4.38,6337
15844,Ideal,I,VS2,1.31,62.4,57,6.93,6.97,4.34,6338
15845,Ideal,F,IF,0.81,61.5,55,5.98,6.05,3.7,6338
15846,Ideal,J,SI1,1.37,62.1,55,7.13,7.16,4.44,6339
15847,Very Good,F,VS2,1,62.2,55,6.39,6.44,3.99,6340
15848,Ideal,G,VS2,1.01,62.4,57,6.39,6.36,3.98,6340
15849,Ideal,D,SI1,1.02,62.2,56,6.43,6.47,4,6340
15850,Fair,H,SI1,1.5,68,59,7.12,6.82,4.76,6340
15851,Premium,I,SI1,1.35,62.1,58,7.07,7,4.37,6340
15852,Ideal,G,VS2,1.04,62,57,6.49,6.5,4.03,6342
15853,Very Good,F,VS2,1.04,60.1,59,6.56,6.61,3.96,6342
15854,Ideal,E,SI1,1.02,62.6,57,6.41,6.44,4.02,6342
15855,Premium,E,SI2,1.51,62.7,58,7.27,7.24,4.55,6342
15856,Premium,J,VS2,1.51,62.3,59,7.36,7.3,4.57,6342
15857,Ideal,I,VS2,1.37,61.5,56,7.14,7.11,4.38,6343
15858,Ideal,E,SI2,1.22,62.7,57,6.84,6.81,4.28,6343
15859,Good,D,SI2,1.2,63.7,52,6.72,6.68,4.27,6344
15860,Premium,E,VS2,1.03,60,59,6.54,6.6,3.94,6344
15861,Ideal,H,VS2,1.1,62.7,56,6.58,6.63,4.14,6344
15862,Premium,H,I1,2,59.7,62,8.19,8.02,4.85,6344
15863,Good,D,SI2,1.2,62.2,65,6.75,6.7,4.18,6344
15864,Ideal,E,SI1,1.01,60.8,56,6.53,6.47,3.95,6346
15865,Ideal,E,SI1,1.01,61.1,57,6.5,6.47,3.96,6346
15866,Fair,G,I1,2.02,68,55,7.77,7.72,5.27,6346
15867,Fair,G,I1,2.02,65.6,57,7.87,7.8,5.15,6346
15868,Ideal,G,SI2,1.14,62.3,56,6.66,6.69,4.16,6346
15869,Ideal,H,SI2,1.21,62.1,58,6.78,6.84,4.23,6347
15870,Ideal,G,VS1,1,62.2,56,6.35,6.41,3.97,6349
15871,Ideal,G,VS1,1,62.7,54,6.37,6.42,4.01,6349
15872,Good,G,VS1,1,63.6,59,6.3,6.34,4.02,6349
15873,Premium,I,VS2,1.26,61.2,59,7.03,6.9,4.26,6350
15874,Premium,H,SI2,1.26,61.3,57,6.96,6.87,4.24,6350
15875,Very Good,H,SI1,1.2,61.6,61,6.81,6.77,4.18,6350
15876,Premium,H,SI2,1.62,63,58,7.47,7.41,4.69,6350
15877,Ideal,J,SI1,1.4,62.1,57,7.17,7.14,4.44,6350
15878,Ideal,G,VS2,1.05,61.7,56,6.54,6.52,4.03,6350
15879,Ideal,I,VS2,1.26,62.6,55,6.96,6.91,4.34,6350
15880,Premium,E,SI2,1.22,61.5,58,6.85,6.81,4.2,6351
15881,Good,F,VS2,1,63.9,62,6.26,6.32,4.02,6352
15882,Very Good,D,SI1,1.1,60.7,55,6.71,6.74,4.08,6352
15883,Very Good,F,VS2,1,62.9,55,6.34,6.38,4,6352
15884,Premium,F,VS2,1,62.4,60,6.35,6.38,3.97,6352
15885,Premium,F,VS2,1,62.6,60,6.29,6.37,3.96,6352
15886,Ideal,G,VS2,1.02,62.5,57,6.41,6.45,4.02,6352
15887,Ideal,I,SI1,1.25,61,56,6.97,7.02,4.27,6352
15888,Premium,D,SI1,1.06,61.1,59,6.63,6.56,4.03,6352
15889,Fair,G,VS1,1.01,64.6,60,6.34,6.22,4.06,6353
15890,Premium,G,VS1,1.01,59.9,59,6.51,6.48,3.89,6353
15891,Very Good,G,VS1,1.01,60.7,63,6.4,6.38,3.88,6353
15892,Premium,G,VS1,1.01,60.5,60,6.52,6.44,3.92,6353
15893,Ideal,G,VS2,1.01,61.6,56,6.46,6.43,3.97,6353
15894,Very Good,G,VVS2,1.01,61.3,61,6.32,6.47,3.92,6354
15895,Very Good,G,SI2,1.24,60.5,60,6.93,7.01,4.22,6354
15896,Premium,H,VS2,1.22,60.9,58,6.89,6.86,4.19,6354
15897,Premium,H,SI1,1.22,61.9,56,6.89,6.84,4.25,6354
15898,Premium,I,VS1,1.22,60.6,61,6.94,6.88,4.19,6354
15899,Premium,G,VS2,1.07,62.1,58,6.55,6.59,4.08,6355
15900,Very Good,G,VS2,1.07,63,55,6.5,6.55,4.11,6355
15901,Ideal,G,VS2,1.07,62.2,57,6.53,6.55,4.07,6355
15902,Very Good,G,VS2,1.07,60.5,56,6.64,6.71,4.04,6355
15903,Very Good,G,VS2,1.07,60.9,58,6.56,6.6,4.01,6355
15904,Ideal,G,VS2,1.02,60.5,57,6.51,6.55,3.95,6356
15905,Premium,J,VVS2,1.29,62.6,59,6.98,6.91,4.35,6356
15906,Premium,H,I1,2.15,62.9,57,8.25,8.2,5.18,6357
15907,Premium,E,VS2,1,62.9,59,6.38,6.27,3.98,6359
15908,Ideal,F,VS1,0.92,61.3,56,6.26,6.3,3.85,6360
15909,Good,G,VS1,1.04,63.8,57,6.42,6.37,4.08,6360
15910,Premium,G,VS1,1.04,60.2,58,6.65,6.64,4,6360
15911,Very Good,F,VS2,1.04,61,60,6.54,6.48,3.97,6361
15912,Good,H,I1,1.53,62.3,55.6,7.34,7.38,4.59,6361
15913,Ideal,G,SI2,1.26,61.8,57,6.93,6.95,4.29,6362
15914,Premium,H,VS2,1.19,61,59,6.91,6.8,4.18,6363
15915,Ideal,F,SI1,1.06,61.7,55,6.58,6.56,4.06,6363
15916,Good,I,SI2,1.5,65,55,7.15,7.24,4.68,6364
15917,Very Good,E,VS2,1.02,60.6,61,6.44,6.47,3.91,6366
15918,Ideal,J,VS2,1.39,60.3,57,7.26,7.24,4.37,6366
15919,Fair,F,VS1,1.01,64.6,60,6.26,6.16,4.01,6366
15920,Premium,E,SI1,1.16,61.3,60,6.7,6.64,4.09,6366
15921,Fair,D,VS2,1.01,65.3,58,6.29,6.24,4.09,6366
15922,Premium,J,SI1,1.52,61,59,7.41,7.35,4.5,6367
15923,Very Good,G,VS1,1.01,62.3,60,6.35,6.49,4,6368
15924,Good,J,SI2,1.53,64.1,58,7.3,7.18,4.64,6368
15925,Premium,H,VS2,1.31,62.1,58,7.01,6.86,4.31,6368
15926,Ideal,H,VS1,1.04,62.5,53,6.5,6.52,4.07,6368
15927,Ideal,H,VS1,1.04,62,54,6.52,6.54,4.05,6368
15928,Ideal,H,SI1,1.17,61.1,57,6.77,6.83,4.16,6368
15929,Very Good,G,VS2,1.1,61.9,57,6.59,6.65,4.1,6369
15930,Very Good,H,SI2,1.38,62.3,60,7.07,7.12,4.42,6369
15931,Good,G,VS2,1,59.1,62,6.42,6.45,3.8,6369
