account length,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn
96,37,172.7,93,29.36,120.1,116,10.21,216.1,86,9.72,10.3,5,2.78,5,1
96,18,172.7,86,29.36,133.4,113,11.34,259.5,70,11.68,9.8,3,2.65,1,0
166,0,204.2,115,34.71,179.9,152,15.29,216.8,109,9.76,9.5,5,2.57,1,0
74,0,85.7,83,14.57,247.7,67,21.05,142.4,85,6.41,10.1,5,2.73,2,0
36,0,157.6,117,26.79,184.3,58,15.67,240.4,99,10.82,11.9,1,3.21,0,0
113,0,215.5,129,36.64,218.7,117,18.59,207.1,91,9.32,6.6,9,1.78,4,0
94,0,181.5,98,30.86,199.9,88,16.99,287.7,114,12.95,6.6,5,1.78,1,0
67,0,171.7,80,29.19,110.4,81,9.38,195.4,111,8.79,11.9,4,3.21,2,0
127,0,266.6,106,45.32,264.8,168,22.51,207.2,119,9.32,5.9,2,1.59,1,1
121,0,170.4,108,28.97,350.5,68,29.79,297,87,13.37,11.2,3,3.02,0,1
158,0,158,106,26.86,292.5,114,24.86,241.1,89,10.85,9.1,4,2.46,1,0
136,0,92,117,15.64,253.6,77,21.56,214.1,90,9.63,10.3,10,2.78,1,0
196,0,234,109,39.78,249.5,114,21.21,173.1,70,7.79,9.1,5,2.46,2,0
113,0,272.1,111,46.26,268.5,118,22.82,213.8,105,9.62,8.5,10,2.3,1,1
122,0,296.4,99,50.39,214.8,89,18.26,133.9,107,6.03,11.4,3,3.08,4,1
112,0,194.4,101,33.05,190.3,82,16.18,183.4,107,8.25,11.4,2,3.08,0,0
209,0,227.2,128,38.62,258.4,92,21.96,183.5,74,8.26,8.9,4,2.4,3,0
62,0,248.7,109,42.28,220,118,18.7,265.7,78,11.96,13.2,2,3.56,1,1
110,38,236.3,102,40.17,195.9,112,16.65,183.5,82,8.26,9.7,6,2.62,1,0
16,0,205.6,69,34.95,169.5,93,14.41,220.1,64,9.9,10.9,3,2.94,0,0
73,0,94.1,136,16,280.3,122,23.83,205,77,9.23,9.8,4,2.65,0,0
128,0,125.2,99,21.28,205.4,107,17.46,254.4,111,11.45,18.9,2,5.1,0,0
39,0,60.4,158,10.27,306.2,120,26.03,123.9,46,5.58,12.4,3,3.35,1,0
103,28,121,105,20.57,270.4,100,22.98,160.5,76,7.22,7.7,4,2.08,2,0
119,29,117.8,66,20.03,256.8,114,21.83,147.6,76,6.64,7.6,3,2.05,3,0
173,21,232.4,96,39.51,211.9,118,18.01,273,102,12.29,5,5,1.35,3,0
128,32,223.5,81,38,188.8,74,16.05,154.9,101,6.97,9.4,2,2.54,2,1
86,0,176.3,79,29.97,259.2,97,22.03,287.4,78,12.93,6.2,3,1.67,0,0
114,32,125.2,79,21.28,177.8,105,15.11,232.4,89,10.46,12.9,3,3.48,1,0
104,0,138.7,107,23.58,256.9,113,21.84,234.9,74,10.57,10,3,2.7,0,0
148,0,86.3,134,14.67,246.6,92,20.96,251.6,91,11.32,11.3,4,3.05,1,0
129,0,207,91,35.19,154.9,121,13.17,245.1,112,11.03,13.4,5,3.62,3,0
100,30,58.8,104,10,219.5,107,18.66,152.3,118,6.85,7.1,3,1.92,0,0
121,35,68.7,95,11.68,209.2,69,17.78,197.4,42,8.88,11.4,4,3.08,1,0
143,33,239.2,109,40.66,235.5,112,20.02,156.3,95,7.03,9.5,4,2.57,1,0
76,0,198.3,130,33.71,217.1,86,18.45,188.4,96,8.48,12.5,3,3.38,0,0
158,0,205.2,97,34.88,240.6,77,20.45,79.7,108,3.59,14.4,12,3.89,0,0
116,0,192.1,98,32.66,312.9,135,26.6,130.2,94,5.86,7.9,2,2.13,3,0
54,0,272.6,83,46.34,248.7,74,21.14,197.4,111,8.88,9.5,2,2.57,1,1
86,0,128.3,121,21.81,197.1,93,16.75,138.4,152,6.23,12.2,5,3.29,7,1
108,0,169.6,99,28.83,264.1,87,22.45,206.3,78,9.28,9.3,4,2.51,0,0
66,0,201.3,95,34.22,152.8,66,12.99,233.2,101,10.49,7.5,4,2.03,1,0
151,17,214.7,97,36.5,138.5,90,11.77,169.1,44,7.61,8.6,4,2.32,1,0
99,0,169.2,70,28.76,271.5,77,23.08,170.2,104,7.66,10.6,2,2.86,0,0
55,0,194.1,121,33,176.6,110,15.01,302.8,136,13.63,7,7,1.89,2,0
77,0,233.8,104,39.75,266.5,94,22.65,212.7,104,9.57,7.6,3,2.05,2,0
78,0,225.1,67,38.27,199.2,127,16.93,175.5,102,7.9,14.6,2,3.94,0,0
89,0,213,63,36.21,176.6,71,15.01,262.6,126,11.82,9.1,1,2.46,1,1
101,0,183.9,115,31.26,255.9,101,21.75,275,145,12.38,10.8,11,2.92,1,0
44,34,221.8,105,37.71,161.7,85,13.74,227.7,62,10.25,14,7,3.78,0,0
98,21,64.6,98,10.98,176.1,86,14.97,244.8,84,11.02,0,0,0,2,0
64,37,154.6,92,26.28,83.4,103,7.09,165.9,99,7.47,13.3,3,3.59,1,0
141,0,260.2,131,44.23,179.2,120,15.23,135,119,6.08,7.2,8,1.94,3,0
81,33,161.6,117,27.47,123,90,10.46,261.3,101,11.76,12.2,5,3.29,1,0
162,0,220.6,117,37.5,155.2,121,13.19,186.7,89,8.4,10.5,11,2.84,1,0
83,41,155.9,122,26.5,162.3,107,13.8,127.6,105,5.74,13.1,5,3.54,3,0
100,0,107,63,18.19,105.7,67,8.98,243.1,74,10.94,12.8,3,3.46,4,1
59,0,182.5,104,31.03,204.7,95,17.4,229.9,100,10.35,11.3,8,3.05,4,0
179,38,220.1,78,37.42,234.3,71,19.92,237.3,85,10.68,10.1,4,2.73,4,0
79,0,152.2,112,25.87,177.2,132,15.06,96.4,87,4.34,5.3,3,1.43,1,0
117,0,181.5,95,30.86,205.1,88,17.43,204,82,9.18,14.7,9,3.97,2,0
64,0,236.2,77,40.15,218.6,85,18.58,194.1,97,8.73,13.2,2,3.56,2,1
31,0,166.1,105,28.24,79.3,93,6.74,213.7,98,9.62,12.7,2,3.43,1,0
124,0,244.6,89,41.58,188.8,80,16.05,206,114,9.27,11.3,4,3.05,1,0
122,23,134.2,85,22.81,227.3,132,19.32,122.4,96,5.51,8.5,2,2.3,2,0
37,39,149.7,122,25.45,211.1,75,17.94,114.3,90,5.14,9.2,4,2.48,1,0
90,29,150.1,109,25.52,264.7,103,22.5,178.4,97,8.03,5.8,4,1.57,1,0
159,0,257.1,53,43.71,312.2,127,26.54,183,82,8.24,8.8,6,2.38,1,1
148,0,124.4,83,21.15,179.7,81,15.27,253,99,11.39,11.3,6,3.05,0,0
39,36,141.7,121,24.09,232.3,113,19.75,222.1,131,9.99,12,5,3.24,1,0
77,0,230,87,39.1,103.2,138,8.77,309.6,136,13.93,11.3,3,3.05,2,0
194,0,162.3,88,27.59,213.7,118,18.16,192.1,81,8.64,10.9,2,2.94,0,0
154,0,350.8,75,59.64,216.5,94,18.4,253.9,100,11.43,10.1,9,2.73,1,1
112,0,193.3,96,32.86,264.1,123,22.45,128.6,115,5.79,9.1,3,2.46,4,0
45,0,78.2,127,13.29,253.4,108,21.54,255,100,11.48,18,3,4.86,1,0
132,0,83.4,110,14.18,232.2,137,19.74,146.7,114,6.6,7.6,5,2.05,1,0
128,0,195.6,99,33.25,267.8,120,22.76,164.9,76,7.42,16,2,4.32,0,0
135,0,201.8,81,34.31,225,114,19.13,204.4,82,9.2,10.3,6,2.78,1,0
56,0,197,110,33.49,222.8,102,18.94,225.3,91,10.14,10.6,6,2.86,2,0
151,0,218,57,37.06,114.4,88,9.72,269.2,95,12.11,12.4,1,3.35,0,1
32,0,164.8,98,28.02,229.9,96,19.54,167.3,108,7.53,14.8,2,4,2,0
90,0,179.2,77,30.46,210.7,99,17.91,276.9,58,12.46,9.2,6,2.48,2,0
87,21,214,113,36.38,180,114,15.3,134.5,82,6.05,10.6,5,2.86,0,0
138,0,170.5,87,28.99,118.2,116,10.05,187.9,111,8.46,11.2,7,3.02,2,0
79,0,205.7,123,34.97,214.5,108,18.23,226.1,106,10.17,6.7,18,1.81,1,0
95,0,165.5,84,28.14,286.2,112,24.33,198.9,89,8.95,11.5,2,3.11,1,1
127,0,221,100,37.57,160.7,113,13.66,233.1,96,10.49,6.8,4,1.84,2,0
137,0,242.1,118,41.16,191,93,16.24,218.6,50,9.84,14.7,2,3.97,3,0
97,0,151.6,107,25.77,155.4,96,13.21,240,112,10.8,14.7,4,3.97,1,0
149,0,176.2,87,29.95,145,81,12.33,249.5,92,11.23,5.7,4,1.54,0,0
117,22,196,82,33.32,322.7,82,27.43,225.6,120,10.15,3.7,5,1,1,0
84,0,159.5,125,27.12,247.1,90,21,187.9,82,8.46,7.2,4,1.94,2,0
137,0,230.2,113,39.13,220.4,79,18.73,204.7,111,9.21,10.7,7,2.89,4,0
99,0,146.7,64,24.94,274,99,23.29,321.3,98,14.46,8.9,1,2.4,3,0
54,0,210.5,102,35.79,204.5,83,17.38,127.8,53,5.75,8.5,5,2.3,1,0
85,0,102,95,17.34,270.2,139,22.97,148.2,105,6.67,10.7,3,2.89,1,0
150,0,126,99,21.42,238.5,73,20.27,285.1,100,12.83,10.2,6,2.75,3,0
43,0,168.4,125,28.63,243.8,89,20.72,214.7,102,9.66,11.1,2,3,1,0
35,0,105.6,129,17.95,258.2,129,21.95,213.1,77,9.59,8.7,3,2.35,0,0
98,0,206.5,92,35.11,176.2,152,14.98,232.8,115,10.48,12.4,5,3.35,5,0
112,0,217.1,76,36.91,205.2,100,17.44,185.7,91,8.36,9.4,3,2.54,2,0
16,0,229.6,78,39.03,205.7,108,17.48,166.2,91,7.48,10.8,2,2.92,0,1
98,22,278.3,89,47.31,93.4,143,7.94,107.6,42,4.84,9.7,5,2.62,0,0
84,0,138.6,102,23.56,199,93,16.92,204.1,137,9.18,7.8,4,2.11,0,0
94,0,234.4,103,39.85,279.3,109,23.74,234.2,121,10.54,2,2,0.54,1,1
84,0,181.5,129,30.86,130.7,112,11.11,186.5,118,8.39,8.5,4,2.3,1,0
66,0,167.3,91,28.44,230,68,19.55,191.7,118,8.63,10.6,5,2.86,1,1
98,31,121,105,20.57,218.9,98,18.61,226.7,110,10.2,12,1,3.24,1,0
74,0,221.1,124,37.59,110.8,94,9.42,240.1,112,10.8,10.6,3,2.86,0,0
96,26,145.8,108,24.79,192.2,89,16.34,165.1,96,7.43,9.9,2,2.67,1,0
119,0,222.8,122,37.88,163.2,107,13.87,160.6,112,7.23,11.2,6,3.02,1,0
73,0,183.4,80,31.18,242,115,20.57,201.4,100,9.06,7.5,3,2.03,4,0
92,0,264.3,91,44.93,160.9,115,13.68,198.6,73,8.94,9.3,5,2.51,0,0
21,0,146,78,24.82,109.7,79,9.32,247.4,108,11.13,6.8,7,1.84,0,0
122,0,157.1,134,26.71,184.9,122,15.72,197.2,59,8.87,8.5,5,2.3,4,1
133,0,127.3,108,21.64,251.3,81,21.36,135,88,6.08,10.3,3,2.78,1,0
145,0,187.9,110,31.94,197,117,16.75,167,108,7.52,4.8,4,1.3,2,0
25,0,178.8,90,30.4,141.2,72,12,203,99,9.14,8.4,5,2.27,2,0
64,0,97.2,80,16.52,186.2,90,15.83,189,92,8.5,10.4,6,2.81,2,0
85,0,259.8,85,44.17,242.3,117,20.6,168.8,72,7.6,5.4,1,1.46,0,0
126,0,256.5,112,43.61,199.5,90,16.96,188.3,122,8.47,7,5,1.89,3,0
76,0,169.5,77,28.82,124,87,10.54,219.4,92,9.87,10,3,2.7,0,0
113,0,239.7,47,40.75,282.9,110,24.05,238.4,88,10.73,8.7,3,2.35,2,1
224,0,171.5,99,29.16,160,103,13.6,212.4,102,9.56,5,2,1.35,1,1
117,0,239.9,84,40.78,174.8,106,14.86,209.5,93,9.43,9.8,2,2.65,0,0
128,34,142.3,73,24.19,194.8,79,16.56,239.3,81,10.77,16,6,4.32,1,0
115,0,184.1,98,31.3,327,73,27.8,212.5,106,9.56,7.5,6,2.03,2,0
141,28,206.9,126,35.17,264.4,126,22.47,171.8,124,7.73,9.3,11,2.51,2,0
51,0,259.9,114,44.18,176.2,94,14.98,77.2,112,3.47,15.3,1,4.13,1,0
100,0,203.8,122,34.65,283.1,76,24.06,197.3,83,8.88,12.5,3,3.38,0,0
96,45,248.8,124,42.3,140.3,77,11.93,263.6,102,11.86,10.3,2,2.78,3,0
112,16,221.6,110,37.67,130.2,123,11.07,200,108,9,11.3,3,3.05,1,0
129,0,192.9,131,32.79,185.5,101,15.77,205.2,130,9.23,10.9,4,2.94,1,0
163,0,122.4,129,20.81,113.4,108,9.64,180.2,97,8.11,12.5,7,3.38,1,0
67,40,104.9,65,17.83,216.3,93,18.39,217.4,128,9.78,9.6,9,2.59,1,0
140,0,173.2,91,29.44,196.8,106,16.73,209.3,128,9.42,11.2,5,3.02,3,0
49,0,119.4,69,20.3,273.3,92,23.23,214.4,153,9.65,12.4,7,3.35,2,0
46,0,250.3,100,42.55,260.6,90,22.15,195,104,8.78,13.3,2,3.59,2,1
148,0,178.3,98,30.31,282.6,110,24.02,181,98,8.15,11.4,4,3.08,1,0
112,0,243.4,77,41.38,182.1,97,15.48,259.2,94,11.66,12.8,2,3.46,1,0
78,0,155,106,26.35,175.3,101,14.9,155.6,125,7,11.8,5,3.19,2,0
61,31,288.7,101,49.08,203.8,102,17.32,203.2,49,9.14,8.6,3,2.32,0,0
58,29,240.4,80,40.87,118.9,91,10.11,164.2,108,7.39,11.2,3,3.02,1,0
155,0,190.3,123,32.35,301.3,96,25.61,214.6,134,9.66,8,3,2.16,1,0
100,0,278,76,47.26,176.7,74,15.02,219.5,126,9.88,8.3,4,2.24,0,1
113,0,155,93,26.35,330.6,106,28.1,189.4,123,8.52,13.5,3,3.65,1,0
81,0,153.5,99,26.1,197.6,102,16.8,198.5,86,8.93,6.3,2,1.7,2,0
135,27,273.4,141,46.48,154,99,13.09,245.8,112,11.06,12.3,6,3.32,1,0
99,0,155.3,93,26.4,265.7,95,22.58,145.7,67,6.56,12.4,4,3.35,0,0
59,29,133.1,114,22.63,221.2,82,18.8,131.6,103,5.92,6.8,3,1.84,1,0
135,0,246.8,129,41.96,187.8,121,15.96,154.5,109,6.95,12.6,5,3.4,1,0
85,0,165.4,107,28.12,196,126,16.66,349.2,110,15.71,9.6,7,2.59,2,0
70,0,59.5,103,10.12,257.2,106,21.86,208.3,86,9.37,11.1,6,3,0,0
88,0,138.3,116,23.51,236,138,20.06,179.1,110,8.06,9.6,4,2.59,3,0
55,0,286.7,100,48.74,134.4,121,11.42,192.9,122,8.68,6.9,5,1.86,2,0
75,0,117.3,114,19.94,201.1,61,17.09,107.9,82,4.86,12.2,3,3.29,1,0
79,21,264.3,79,44.93,202.8,118,17.24,173.4,92,7.8,6.3,3,1.7,4,0
85,0,127.9,107,21.74,271.2,124,23.05,202.2,76,9.1,12.5,5,3.38,0,0
86,23,225.5,107,38.34,246.3,105,20.94,245.7,81,11.06,9.8,2,2.65,0,0
91,0,149,115,25.33,245.3,105,20.85,260,94,11.7,8.3,3,2.24,0,0
149,20,198.9,77,33.81,274,88,23.29,190.7,76,8.58,14.3,9,3.86,1,0
97,0,256.4,125,43.59,273.9,100,23.28,222.7,101,10.02,11.1,1,3,1,1
88,0,264.8,124,45.02,245.4,112,20.86,160.5,115,7.22,14.8,2,4,1,1
60,0,98.2,88,16.69,180.5,69,15.34,223.6,69,10.06,9.3,2,2.51,2,0
54,0,159.8,99,27.17,264,64,22.44,115.7,70,5.21,9.7,7,2.62,2,0
11,28,190.6,86,32.4,220.1,122,18.71,180.3,80,8.11,6,3,1.62,3,0
109,0,184,120,31.28,120.4,119,10.23,153.7,86,6.92,11,3,2.97,0,0
90,0,261.8,128,44.51,220.6,104,18.75,136.6,91,6.15,9.6,5,2.59,1,0
115,0,147.9,109,25.14,228.4,117,19.41,299.7,90,13.49,9.6,9,2.59,3,0
144,18,106.4,109,18.09,108.1,113,9.19,208.4,111,9.38,10.1,5,2.73,1,0
91,0,133.7,75,22.73,195.3,87,16.6,280.5,89,12.62,5.9,2,1.59,0,0
105,23,193.5,85,32.9,220.2,90,18.72,272.4,111,12.26,8.5,5,2.3,0,0
71,0,178.2,113,30.29,167.8,94,14.26,182.1,111,8.19,13.6,3,3.67,3,1
132,36,226.2,103,38.45,181.6,125,15.44,258.8,102,11.65,10.5,5,2.84,3,1
112,0,170.4,103,28.97,200.2,71,17.02,258.3,100,11.62,11.6,4,3.13,1,0
86,32,70.9,163,12.05,166.7,121,14.17,244.9,105,11.02,11.1,5,3,3,0
41,34,194.4,63,33.05,254.9,110,21.67,160.2,115,7.21,17.2,9,4.64,2,0
44,0,240.3,146,40.85,164.6,83,13.99,240.7,106,10.83,10.6,2,2.86,1,0
78,0,75,116,12.75,248.7,87,21.14,176,83,7.92,9.5,6,2.57,3,0
149,0,69.1,117,11.75,136.3,100,11.59,181.7,53,8.18,6.3,3,1.7,1,0
72,33,96.6,59,16.42,315.4,98,26.81,163.3,117,7.35,6.2,4,1.67,4,1
139,20,214.6,101,36.48,235.1,132,19.98,162.8,132,7.33,14.8,12,4,0,0
74,0,148.5,111,25.25,146.5,42,12.45,289.2,83,13.01,9.9,6,2.67,3,0
50,0,258.1,106,43.88,161.4,106,13.72,225.1,110,10.13,11.7,5,3.16,1,0
141,23,149.7,112,25.45,162.5,118,13.81,220.3,115,9.91,7.6,2,2.05,3,0
140,0,149.8,134,25.47,164.4,98,13.97,294.7,124,13.26,8.1,2,2.19,1,0
99,0,190.4,102,32.37,158.1,107,13.44,271.5,92,12.22,11.2,4,3.02,2,0
166,0,181.4,108,30.84,253.8,54,21.57,112.3,94,5.05,11.6,6,3.13,1,0
124,0,151.1,123,25.69,187.4,104,15.93,255.4,93,11.49,5.3,3,1.43,1,0
74,0,155.7,116,26.47,173.7,63,14.76,257.4,97,11.58,8.1,4,2.19,0,0
117,0,149.9,95,25.48,256.1,110,21.77,212.7,92,9.57,13.3,13,3.59,2,0
85,0,222.3,132,37.79,231.5,101,19.68,223.5,75,10.06,11,2,2.97,3,0
36,16,149.4,111,25.4,131.8,113,11.2,132.7,87,5.97,6.7,2,1.81,0,0
102,0,233.8,103,39.75,221.6,131,18.84,146.9,106,6.61,12.8,3,3.46,0,0
76,0,204.2,100,34.71,292.6,139,24.87,244.3,105,10.99,10.5,2,2.84,0,0
165,0,242.9,126,41.29,209.8,65,17.83,228.4,126,10.28,0,0,0,1,0
130,0,150.4,119,25.57,230.5,99,19.59,186.3,76,8.38,12.3,4,3.32,1,0
78,0,208.9,119,35.51,252.4,132,21.45,280.2,120,12.61,12.8,7,3.46,0,0
55,0,191.9,91,32.62,256.1,110,21.77,203.7,101,9.17,14.3,6,3.86,1,1
92,0,130.7,113,22.22,260.6,122,22.15,244.2,98,10.99,9.4,2,2.54,2,1
129,33,119.6,104,20.33,278.7,88,23.69,263.4,175,11.85,5.9,2,1.59,2,0
18,0,273.6,93,46.51,114.6,116,9.74,250.6,120,11.28,8.2,4,2.21,1,0
161,0,156.1,114,26.54,180.3,63,15.33,179.6,115,8.08,11.1,9,3,2,0
93,36,178.7,134,30.38,178.6,102,15.18,126.8,82,5.71,8,4,2.16,2,0
144,0,177.5,93,30.18,287.4,75,24.43,180.5,118,8.12,11.9,3,3.21,2,0
75,0,211.3,61,35.92,105.6,119,8.98,175.9,63,7.92,9.7,4,2.62,4,1
